1,
7  ...  Ib8 ,"Sherwin  slid  the  Rook  here  with  his  pinky,  as  if  to  emphasize  the 
cunning  of  this  mysterious  move.  7...d5  8  Ilel  b5  9  e5  <^d7  10  £}fl  b4 
11  h4  a 5  12  M,£4  a4  13  a3!  Fischer-Mjagmasuren,  Sousse  Interzonal 
1967,  leads  to  double-edged  play  where  Black’s  chances  on  the  Q-sidc 
countervail  White’s  K-side  attack  -  but  White  usually  comes  first. "
9  c3  b6,"Not  bad.  But  I  had  expected  9...b5  10  d4  cxd4!  (if  10... b4  11  e5! 
bxc3?  [7i...dxe5  12  dxe5  4hd7  13  c4  holds  the  advantage]  12  exf6  cxd2 
13  <^xd2!  wins  a  piece)  11  cxd4  d5  with  equality. "
10  d4  #c7? ,"This  leads  to  trouble.  Black  should  strive  for  counterplay  by  opening 
the  c-file:  /0...cxd4  11  cxd4  d5  12  e5  $M7,  etc. "
11  e5!  ^id5 ,"Worse  is  ll.-.^hdl  12  cxd6  Axd6  13  4he4  cxd4  14  4\xd6  ®xd6 
15  Jkf4  e5  16  4ixe5!  4Mxe5  17  cxd4  winning  a  Pawn.  The  best  try  is 
AZ...dxe5  12  dxe5  13  °0e2  Jkb7  14  h4  with  a  bind,  but  Black’s 
game  may  be  tenable. "
13  ^e4!  c4,"An  unpleasant  choice,  since  it  releases  the  pressure  in  the  center  and 
gives  White  a  free  hand  to  start  operations  on  the  K-side.  However, 
other  moves  lose  material: a]  13..  Aq  1 14  c4  15  M4,  etc, 

b]  fi...cxd4  14  4Uxd6  Hbcdb  15  c4!  16  JLf4  and  again  the  lineup 

on  this  diagonal  is  unfortunate. "
15  £ig5!  £lce7? ,"A  bad  mistake.  Black's  game  is  still  tenable  after  15... h6  16  4^e4 
Wd8. "
16  Hc2!  ^g6 ,"On  16..S 5?  17  IS  el  picks  off  a  Pawn.  Had  Sherwin  seen  what  was 
coming,  however,  he  might  have  chosen  16... g6  17  ^e4  ®c7  IS  ilh6 
Sd8,  though  19  ttd2  prepares  to  exploit  his  weakened  dark  squares. "
17  h4  6,"Apparently  everything’s  defended  nowT.  Unappetizing  is  17... Sd8 
(i7...h6  18  h5  hxg5  19  hxg6  f6?  20  #c2-h5)  18  4^xh7!  ^xh7  19  h5  f5 
20  hxg6+  ^xg6  21  2e5!  with  a  bind. "
18  4ixh7! ,"Throwing  a  monkey  wrench  into  Black’s  carefully  contrived  setup! 
As  usual,  tactics  flow  from  a  positionally  superior  game. "
19  h5  ^h4! ,"The  best  fighting  chance.  Not  79...<53e 7  20  Jtf4  wins  a  clear 
exchange. "
22  h6!,"He’s  hoping  for  22  Jhtb7  J=xb7  and,  suddenly,  the  initiative  passes  to 
Black  despite  his  material  deficit "
22  ...  fch4 ,"Once  again,  time-pressure  had  Sherwin  burying  his  thumbs  in  his 
ears.  Instead  of  trying  to  mix  it  up,  Black  should  keep  his  King 
sheltered  as  long  as  possible  with  22...g6  23  h5!  g5  (if  23...gxh5 
24  We2),  but  24  Jte5  stays  a  Pawn  ahead  with  two  Bishops.  It  might 
still  be  a  fight,  though. "
23  hxg7  <&>xg7? ,"Suicidal,  The  last  hope  would  have  been  25...Sd8  24  JLg3  HTi6, 
though  25  Wq2  is  hard  to  meet  (if  25... b5  26  a4  a6  27  axb5  axb5 
28  Sa8). "
"25  Ie3! ","Now  the  Rook  joins  the  King  hunt  -  and  it’s  murder.  The  immediate 
threat  is  26  Sh3  Wg6  27  Eg3. "
